,Question,Answer,RAG_Answer
50,What potion gives good luck to those who drink it? , Felix Felicis,A summary could not be generated for your search query. Here are some search results.
51,What is the maiden name of sisters Lily Potter and Petunia Dursley? , Evans,The maiden name of sisters Lily Potter and Petunia Dursley is Evans.
52,"Who is NOT in Slytherin: Lavender Brown, Pansy Parkinson, Blaise Zabini, or Greggory Goyle? ", Lavender Brown,There is not enough information to answer the question.
53,What day did James and Lily Potter die? , Oct. 31,There is not enough information to answer the query.
54,What class does Professor McGonagall teach? , Transfiguration,"Professor McGonagall teaches Transfiguration at Hogwarts [1, 2]. She is strict and clever, and she gives students a talking-to the moment they sit down in her class [1]. She tells them that Transfiguration is some of the most complex and dangerous magic they will learn at Hogwarts [1]."
55,Who does Bill Weasley marry? , Fleur Delacour,Bill Weasley marries Fleur Delacour.
56,What kind of wood is Harry's first wand made out of? , Holly,There is not enough information to answer the query.
57,How many Horcruxes did Voldemort create intentionally? , Six,"Voldemort created seven Horcruxes, but only six were intentional."
58,Who wrote A History of Magic? , Bathilda Bagshot,There is not enough information to answer the query.
59,Who kills Dobby? , Bellatrix Lestrange,It is not clear who kills Dobby. Lord Voldemort is the most feared Dark wizard for a hundred years [3]. He has killed some of the best witches and wizards of the age [2].
60,What house is Justin Finch-Fletchley in? , Hufflepuff,There is not enough information to answer the query.
61,What does Hagrid use to channel the pieces of his wand once it's been broken? , A pink umbrella,Hagrid has the pieces of his wand after it was broken [1]. He doesn't use them [1].
62,How many players are on a Quidditch team? , Seven,A summary could not be generated for your search query. Here are some search results.
63,What children's book contains the story of the Deathly Hallows? , The Tales of Beedle the Bard,There is no children's book that contains the story of the Deathly Hallows.
64,Where is the entrance to the Chamber of Secrets hidden? , The girls' bathroom,A summary could not be generated for your search query. Here are some search results.
65,What teleportation magic do sixth-years learn at Hogwarts? , Apparition,A summary could not be generated for your search query. Here are some search results.
66,What kind of magical creature is Aragog? , Acromantula,Aragog is a giant tarantula.
67,What is Ron's favorite Quidditch team? , Chudley Cannons,A summary could not be generated for your search query. Here are some search results.
68,When is Neville's birthday? , July 30,A summary could not be generated for your search query. Here are some search results.
69,What is James Potter's Marauder nickname? , Prongs,James Potter's Marauder nickname is Prongs [1].
70,How is the Grey Lady related to Rowena Ravenclaw? , She's Rowena's daughter.,"The Grey Lady is the ghost of Rowena Ravenclaw, one of the four founders of Hogwarts."
71,What does Charlie Weasley do for a living after graduation? , Study dragons,Charlie Weasley studies dragons in Romania after graduating.
72,What name does Buckbeak get after being saved from execution? , Witherwings,There is not enough information to answer the query.
73,What is Dean Thomas's favorite sport? , Football (soccer),Dean Thomas's favorite sport is Quidditch.
74,What does Harry do with his winnings from the Triwizard Tournament? , Gives it to the Weasley Twins,"Harry has to exercise a lot of self-control not to spend all of his winnings at once [2]. He has to refill his money bag with gold Galleons, silver Sickles, and bronze Knuts from his vault at Gringotts [2]."
75,What is Voldemort's mother's name? , Merope,There is not enough information to answer the query.
76,Who are the Chasers on the Gryffindor Quidditch team when Harry joins? ," Alicia Spinnet, Angelina Johnson, and Katie Bell","The Chasers on the Gryffindor Quidditch team when Harry joins are Alicia Spinner, Angelina Johnson, and Katie Bell [1]."
77,Who is the first person to ever successfully break into Gringotts? , Quirinus Quirrell,It is unknown who is the first person to ever successfully break into Gringotts.
78,How is Bellatrix related to Tonks? , Tonks is Bellatrix's niece.,Bellatrix is Tonks's aunt.
79,What family does Winky the house-elf belong to before working at Hogwarts? , The Crouch family,There is not enough information to answer the query.
80,What is the full name of Nearly Headless Nick? , Sir Nicholas de Mimsy-Porpington,Nearly Headless Nick is a ghost at Hogwarts. His full name is Sir Nicholas de Mimsy-Porpington.
81,How old was the Sorcerer's Stone co-creator Nicolas Flamel when he decided to destroy it? , 665,There is not enough information to answer the query.
82,"Monkshood and wolfsbane are the same plant, also known as what? ", Aconite,"Monkshood and wolfsbane are the same plant, also known as aconite [1]."
83,How many staircases does Hogwarts have? , 142,"Hogwarts has 142 staircases [1]. They include wide, sweeping staircases, narrow, rickety staircases, and some that lead to different places on Fridays [1]."
84,"In the Hall of Prophecy, there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort? ", 97,There is not enough information to answer the query.
85,How many possible Quidditch fouls are there? , 700,There are seven hundred ways to commit a Quidditch foul [1]. All of them were committed during a World Cup match in 1473 [1].
86,Dumbledore has a scar above his left knee that is a perfect map of what? , The London Underground,Dumbledore has a scar above his left knee that is a perfect map of the London Underground [1].
87,"For Harry's 17th birthday, what color did Hermione turn the leaves of the Weasleys’ crabapple tree? ", Gold,Hermione turned the leaves of the Weasleys’ crabapple tree gold for Harry’s 17th birthday.
88,Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the lavatory entrance? , Boris the Bewildered,The statue of Albus Dumbledore is next to the lavatory entrance.
89,"In Harry Potter and the Prisoner of Azkaban, how do Hermione, Harry, and Ron find Crookshanks? ", He jumps on Ron's head at the Magical Menagerie.,"There is no information about how Hermione, Harry, and Ron find Crookshanks in Harry Potter and the Prisoner of Azkaban."
90,What is the max speed of a Firebolt broomstick? , 150 mph,There is not enough information to answer the query.
91,"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal? ", Troy,There is not enough information to answer the query.
92,Voldemort stole Helga Hufflepuff's cup from an old woman named Hepzibah Smith. What was the name of her house-elf? , Hokey,There is not enough information to answer the query.
93,Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it? , Arnold,There is not enough information to answer the query [Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?]
94,Who killed the Grey Lady? , The Bloody Baron,A summary could not be generated for your search query. Here are some search results.
95,What was the name of the Quidditch team on the sock Mrs. Weasley tries to give to Harry? , Puddlemere United,Mrs. Weasley tries to give Harry a sock with the Gryffindor lion knitted on the front.
96,What color is Teddy Lupin's hair when he is born? , Black,There is not enough information to answer the query.
97,Which scent attracts Hermione Granger? ," Freshly mown grass, mint toothpaste, and fresh parchment",A summary could not be generated for your search query. Here are some search results.
98,How many times did Gilderoy Lockhart win Witch Weekly's Most Charming Smile Award? , Five,Gilderoy Lockhart won the Witch Weekly's Most Charming Smile Award five times in a row [1].
99,What is the core of Draco Malfoy's wand? , Unicorn hair,Draco Malfoy's wand core is unicorn hair.
100,Who is the matron of the orphanage where Voldemort grows up? , Mrs. Cole,The matron of the orphanage where Voldemort grows up is not mentioned.
101,What was the name of the orphanage where Lord Voldemort grew up? , Wool's Orphanage,The name of the orphanage where Lord Voldemort grew up is unknown.
102,"In Harry Potter and the Prisoner of Azkaban, whose portrait replaces the Fat Lady after she is attacked? ", Sir Cadogan,"In Harry Potter and the Prisoner of Azkaban, Sir Cadogan's portrait replaces the Fat Lady's after she is attacked. Sir Cadogan spends half his time challenging people to duels, and the rest thinking up ridiculously complicated passwords, which he changes at least twice a day [1]."
103,What does Professor Kettleburn wish to do after retiring from Hogwarts?,Enjoy more time with his remaining limbs,Professor Kettleburn retired from Hogwarts to enjoy more time with his remaining limbs [1].
104,What is Lockhart's favorite color?,Lilac,A summary could not be generated for your search query. Here are some search results.
105,"In Harry Potter and the Chamber of Secrets, where were Harry, Hermione, and Ron coming from when they found Mrs. Norris petrified?",Nearly Headless Nick's Deathday Party,"In Harry Potter and the Chamber of Secrets, Harry, Hermione, and Ron found Mrs. Norris petrified in the Room of Requirement."
106,What does Hermione say Jupiter's largest moon is?,Ganymede,There is not enough information to answer the query.
107,When did Harry learn Accio?,Year 4,There is not enough information to answer the query.
108,What is Lily Potter's birthday?,"Jan. 30, 1960",A summary could not be generated for your search query. Here are some search results.
109,What is Snape's birthday?,"Jan. 9, 1960",A summary could not be generated for your search query. Here are some search results.
110,Why did Hermione miss the lesson on Cheering Charms?,Draco's cruel behavior led her to miss the class.,Hermione missed the lesson on Cheering Charms because she was in detention.
111,"In Harry Potter and the Half-Blood Prince, in the Weasleys' magical clock, what are all of the hands pointed to when Harry arrives at the Burrow?",Mortal peril,There is not enough information to answer the query.
112,What does Ginny say Ron has a tattoo of?,A Pygmy Puff,There is not enough information to answer the query.
113,"What is the middle name of Harry's daughter, Lily?",Luna,"There is not enough information to answer the query [What is the middle name of Harry's daughter, Lily?]"
114,"In Harry Potter and the Prisoner of Azkaban, where is the secret passage from Hogwarts to Honeydukes hidden?",Beneath the statue of the one-eyed witch,"In Harry Potter and the Prisoner of Azkaban, the secret passage from Hogwarts to Honeydukes is hidden behind a door at the top of the stairs [1]. Harry finds the secret passage and slips through the door, finding himself behind the counter of Honeydukes [1]. Honeydukes is so crowded with Hogwarts students that no one looks twice at Harry [1]."
115,What is Ron's middle name?,Bilius,A summary could not be generated for your search query. Here are some search results.
116,Who is the second Peverell brother?,Cadmus Peverell,There is not enough information to answer the query.
117,What is the magical equipment store in Hogsmeade?,Dervish and Banges,Dervish and Banges is the magical equipment store in Hogsmeade [1].
118,Who is the Hogwarts student who cursed herself to get rid of her acne?,Eloise Midgen,There is not enough information to answer the query.
119,Who is Neville Longbottom's father?,Frank Longbottom,Neville Longbottom's father is Frank Longbottom. Frank and his wife Alice were tortured by Death Eaters.
120,What is Ginny's full name?,Ginevra Weasley,A summary could not be generated for your search query. Here are some search results.
121,What is the name of the all-female Quidditch team?,Holyhead Harpies,There is no all-female Quidditch team.
122,Who is the the third Peverell brother?,Ignotus Peverell,There is no information about the third Peverell brother in the search results.
123,What is Hermione’s middle name?,Jean,A summary could not be generated for your search query. Here are some search results.
124,Who is the catlike magical creature with the tail of a lion?,Kneazle,There is no information to answer the query.
125,What is Dumbledore’s favorite Muggle sweet?,Lemon drops,A summary could not be generated for your search query. Here are some search results.
126,What does Mr. Weasley call Mrs. Weasley when they’re alone together?,Mollywobbles,A summary could not be generated for your search query. Here are some search results.
127,What is the spell to turn off Lumos?,Nox,The spell to turn off Lumos is Nox.
128,What is the color of Crookshanks’s fur?,Orange,Crookshanks is a cat in the Harry Potter series.
129,Who is Nicolas Flamel’s wife?,Perenelle Flamel,"Nicolas Flamel's wife is Perenelle, who is 658 years old [1]. They live a quiet life in Devon [1]."
130,What is the largest ball used in Quidditch?,The Quaffle,There is not enough information to answer the query.
131,What is Dumbledore’s favorite flavor of jam?,Raspberry,A summary could not be generated for your search query. Here are some search results.
132,What is Professor Trelawney’s first name?,Sybill,Professor Trelawney's first name is Sybill.
133,What is the number of Knuts in a Sickle?,29,There is not enough information to answer the query.
134,Who are the employees of the Department of Mysteries?,Unspeakables,The employees of the Department of Mysteries are not known.
135,Who is Bill and Fleur's eldest child?,Victoire Weasley,There is not enough information to answer the query.
136,What is Dumbledore's middle name?,Percival Wulfric Brian,A summary could not be generated for your search query. Here are some search results.
137,What is the Christmas event held to celebrate the Triwizard Tournament?,Yule Ball,"The end of term feast is held at Hogwarts to celebrate the Triwizard Tournament. The feast takes place amid decorations of scarlet and gold [3]. The Gryffindor table is the noisiest of the lot, as everyone celebrates [3]."
138,Which house is Hannah Abbott sorted into?,Hufflepuff,"Hannah Abbott is sorted into Hufflepuff. In the book, Hannah spends much of her next Herbology class telling anyone who will listen that Sirius Black could turn into a flowering shrub [1]. The table on the right cheers and claps as Hannah goes to sit down at the Hufflepuff table [2]."
139,"In Harry Potter and the Prisoner of Azkaban, what name does Harry give Stan when he gets on the Knight Bus?",Neville Longbottom,There is no information about Harry Potter and the Prisoner of Azkaban in the search results.
140,What mascot do the Bulgarians bring to the Quidditch World Cup?,Veela,The Bulgarians bring a mascot to the Quidditch World Cup.
141,What does S.P.E.W. stand for?,Society for the Promotion of Elfish Welfare,S.P.E.W. stands for the Society for the Promotion of Elfish Welfare.
142,What happened to Neville's parents?,They were tortured through the Cruciatus Curse and were then sent to St. Mungo's Hospital.,Neville's parents were attacked by Voldemort.
143,"During the third task in Harry Potter and the Goblet of Fire, what is the answer to the sphinx's riddle?",Spider,"The answer to the sphinx's riddle is ""Voldemort""."
144,How was Rita Skeeter listening to private conversations at Hogwarts all year?,"She's secretly an Animagus and can turn into a beetle, so she was hiding all around school.",Rita Skeeter was listening to private conversations at Hogwarts all year by using a Time-Turner.
145,What does the Howler that Aunt Petunia receives say?,"Remember my last, Petunia.","The Howler that Aunt Petunia receives says that she didn't tell them where the maniac escaped from [3]. She also receives a warning that if the Ministry gets wind of any more magic in Privet Drive, Harry would face expulsion from Hogwarts [3]."
146,Who tells Harry about the Room of Requirement?,Dobby,It is Hermione who tells Harry about the Room of Requirement.
147,"In Harry Potter and the Goblet of Fire, what is the name of the Muggle whom Voldemort kills inside the Riddle House?",Frank Bryce,"In Harry Potter and the Goblet of Fire, Voldemort kills a Muggle named Frank Bryce inside the Riddle House."
148,"How did Harry, Ron, and Hermione communicate to the other members of Dumbledore's Army that they were meeting?",Hermione created fake Galleons that show the date and time on the side.,"Harry, Ron, and Hermione didn't speak to each other until they came to a halt in the entrance hall [2]."
149,"While Neville is at St. Mungo's, what does his mom give him as a gift?",A gum wrapper,There is not enough information to answer the query.
150,What is the name of the centaur that replaces Trelawney as the professor of Divination?,Firenze,There is not enough information to answer the query.
151,Why does the Order of the Phoenix move out of 12 Grimmauld Place after Sirius's death?,"Even though Sirius left Harry the house, they were afraid the deed would pass to Bellatrix.",The Order of the Phoenix moves out of 12 Grimmauld Place after Sirius's death.
152,What nickname does Ginny give Fleur in Harry Potter and the Half-Blood Prince?,Phlegm,There is not enough information to answer the query.
153,How did Ginny end up at the Slug Club meeting on the Hogwarts Express?,Slughorn caught Ginny performing a really good hex.,Ginny was on the Hogwarts Express with her brother Percy when they were approached by Slughorn. Slughorn invited Ginny to a Slug Club meeting in his compartment.
154,"During his first visit with Tom Riddle, what does Dumbledore have Tom take out of his wardrobe at the orphanage?",A box of stuff he stole from other children,Dumbledore has Tom Riddle take out a strange object from his wardrobe during his first visit.
155,"While learning to Apparate, what are the ""three D's"" everyone must remember?","Destination, determination, deliberation",A summary could not be generated for your search query. Here are some search results.
156,What's Ron's cover story as to why he's not at Hogwarts in Harry Potter and the Deathly Hallows?,He has a highly contagious case of spattergroit.,"Ron's cover story is that he's missing from the books about great wizards, notable magical names, important magical discoveries, and recent developments in wizardry."
157,What fake name does Harry use while attending Bill and Fleur's wedding in disguise in Harry Potter and the Deathly Hallows?,Barny Weasley,"Harry uses the fake name ""Brendan"" while attending Bill and Fleur's wedding in disguise."
158,"After breaking into the Ministry of Magic, what does Harry steal from Umbridge's office in Harry Potter and the Deathly Hallows?",Moody's magical eye,"In Harry Potter and the Deathly Hallows, Harry steals a Pensieve from Umbridge's office after breaking into the Ministry of Magic."
159,What quote is written on James and Lily's grave in Godric's Hollow?,The last enemy that shall be destroyed is death.,There is no quote written on James and Lily's grave in Godric's Hollow.
160,"How do the Death Eaters find Harry, Hermione, and Ron in the forest before they are taken to Malfoy Manor in the book Harry Potter and the Deathly Hallows?",Harry says Voldemort's name.,There is not enough information to answer the query.
161,How does Peter Pettigrew die?,His silver hand strangles him after he shows Harry mercy.,Peter Pettigrew dies when he is blown up by a curse from Voldemort.
162,What caused Ariana Dumbledore to stop using magic?,She was attacked by Muggle boys when she was 6 years old.,Ariana Dumbledore stopped using magic after a traumatic event.
163,How do you get into Ravenclaw's common room?,You have to answer a question or riddle.,A summary could not be generated for your search query. Here are some search results.
164,"And finally, how do Lily and Snape meet for the first time?",Snape lived in the same town and introduced himself to Lily after he saw her doing magic.,They meet in the forest [1].
