Question|Answer
What is the name of the Weasley family home? | The Burrow
What potion gives good luck to those who drink it? | Felix Felicis
What is the maiden name of sisters Lily Potter and Petunia Dursley? | Evans
Who is NOT in Slytherin: Lavender Brown, Pansy Parkinson, Blaise Zabini, or Greggory Goyle? | Lavender Brown
What day did James and Lily Potter die? | Oct. 31
What class does Professor McGonagall teach? | Transfiguration
Who does Bill Weasley marry? | Fleur Delacour
What kind of wood is Harry's first wand made out of? | Holly
How many Horcruxes did Voldemort create intentionally? | Six
Who wrote A History of Magic? | Bathilda Bagshot
Who kills Dobby? | Bellatrix Lestrange
What house is Justin Finch-Fletchley in? | Hufflepuff
What does Hagrid use to channel the pieces of his wand once it's been broken? | A pink umbrella
How many players are on a Quidditch team? | Seven
What children's book contains the story of the Deathly Hallows? | The Tales of Beedle the Bard
Where is the entrance to the Chamber of Secrets hidden? | The girls' bathroom
What teleportation magic do sixth-years learn at Hogwarts? | Apparition
What kind of magical creature is Aragog? | Acromantula
What is Ron's favorite Quidditch team? | Chudley Cannons
When is Neville's birthday? | July 30
What is James Potter's Marauder nickname? | Prongs
How is the Grey Lady related to Rowena Ravenclaw? | She's Rowena's daughter.
What does Charlie Weasley do for a living after graduation? | Study dragons
What name does Buckbeak get after being saved from execution? | Witherwings
What is Dean Thomas's favorite sport? | Football (soccer)
What does Harry do with his winnings from the Triwizard Tournament? | Gives it to the Weasley Twins
What is Voldemort's mother's name? | Merope
Who are the Chasers on the Gryffindor Quidditch team when Harry joins? | Alicia Spinnet, Angelina Johnson, and Katie Bell
Who is the first person to ever successfully break into Gringotts? | Quirinus Quirrell
How is Bellatrix related to Tonks? | Tonks is Bellatrix's niece.
What family does Winky the house-elf belong to before working at Hogwarts? | The Crouch family
What is the full name of Nearly Headless Nick? | Sir Nicholas de Mimsy-Porpington
How old was the Sorcerer's Stone co-creator Nicolas Flamel when he decided to destroy it? | 665
Monkshood and wolfsbane are the same plant, also known as what? | Aconite
How many staircases does Hogwarts have? | 142
In the Hall of Prophecy, there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort? | 97
How many possible Quidditch fouls are there? | 700
Dumbledore has a scar above his left knee that is a perfect map of what? | The London Underground
For Harry's 17th birthday, what color did Hermione turn the leaves of the Weasleys’ crabapple tree? | Gold
Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the lavatory entrance? | Boris the Bewildered
In Harry Potter and the Prisoner of Azkaban, how do Hermione, Harry, and Ron find Crookshanks? | He jumps on Ron's head at the Magical Menagerie.
What is the max speed of a Firebolt broomstick? | 150 mph
In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal? | Troy
Voldemort stole Helga Hufflepuff's cup from an old woman named Hepzibah Smith. What was the name of her house-elf? | Hokey
Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it? | Arnold
Who killed the Grey Lady? | The Bloody Baron
What was the name of the Quidditch team on the sock Mrs. Weasley tries to give to Harry? | Puddlemere United
What color is Teddy Lupin's hair when he is born? | Black
Which scent attracts Hermione Granger? | Freshly mown grass, mint toothpaste, and fresh parchment
How many times did Gilderoy Lockhart win Witch Weekly's Most Charming Smile Award? | Five
What is the core of Draco Malfoy's wand? | Unicorn hair
Who is the matron of the orphanage where Voldemort grows up? | Mrs. Cole
What was the name of the orphanage where Lord Voldemort grew up? | Wool's Orphanage
In Harry Potter and the Prisoner of Azkaban, whose portrait replaces the Fat Lady after she is attacked? | Sir Cadogan
What does Professor Kettleburn wish to do after retiring from Hogwarts?|Enjoy more time with his remaining limbs
What is Lockhart's favorite color?|Lilac
In Harry Potter and the Chamber of Secrets, where were Harry, Hermione, and Ron coming from when they found Mrs. Norris petrified?|Nearly Headless Nick's Deathday Party
What does Hermione say Jupiter's largest moon is?|Ganymede
When did Harry learn Accio?|Year 4
What is Lily Potter's birthday?|Jan. 30, 1960
What is Snape's birthday?|Jan. 9, 1960
Why did Hermione miss the lesson on Cheering Charms?|Draco's cruel behavior led her to miss the class.
In Harry Potter and the Half-Blood Prince, in the Weasleys' magical clock, what are all of the hands pointed to when Harry arrives at the Burrow?|Mortal peril
What does Ginny say Ron has a tattoo of?|A Pygmy Puff
What is the middle name of Harry's daughter, Lily?|Luna
In Harry Potter and the Prisoner of Azkaban, where is the secret passage from Hogwarts to Honeydukes hidden?|Beneath the statue of the one-eyed witch
What is Ron's middle name?|Bilius
Who is the second Peverell brother?|Cadmus Peverell
What is the magical equipment store in Hogsmeade?|Dervish and Banges
Who is the Hogwarts student who cursed herself to get rid of her acne?|Eloise Midgen
Who is Neville Longbottom's father?|Frank Longbottom
What is Ginny's full name?|Ginevra Weasley
What is the name of the all-female Quidditch team?|Holyhead Harpies
Who is the the third Peverell brother?|Ignotus Peverell
What is Hermione’s middle name?|Jean
Who is the catlike magical creature with the tail of a lion?|Kneazle
What is Dumbledore’s favorite Muggle sweet?|Lemon drops
What does Mr. Weasley call Mrs. Weasley when they’re alone together?|Mollywobbles
What is the spell to turn off Lumos?|Nox
What is the color of Crookshanks’s fur?|Orange
Who is Nicolas Flamel’s wife?|Perenelle Flamel
What is the largest ball used in Quidditch?|The Quaffle
What is Dumbledore’s favorite flavor of jam?|Raspberry
What is Professor Trelawney’s first name?|Sybill
What is the number of Knuts in a Sickle?|29
Who are the employees of the Department of Mysteries?|Unspeakables
Who is Bill and Fleur's eldest child?|Victoire Weasley
What is Dumbledore's middle name?|"Percival Wulfric Brian"
What is the Christmas event held to celebrate the Triwizard Tournament?|Yule Ball
Which house is Hannah Abbott sorted into?|Hufflepuff
In Harry Potter and the Prisoner of Azkaban, what name does Harry give Stan when he gets on the Knight Bus?|Neville Longbottom
What mascot do the Bulgarians bring to the Quidditch World Cup?|Veela
What does S.P.E.W. stand for?|Society for the Promotion of Elfish Welfare
What happened to Neville's parents?|They were tortured through the Cruciatus Curse and were then sent to St. Mungo's Hospital.
During the third task in Harry Potter and the Goblet of Fire, what is the answer to the sphinx's riddle?|Spider
How was Rita Skeeter listening to private conversations at Hogwarts all year?|She's secretly an Animagus and can turn into a beetle, so she was hiding all around school.
What does the Howler that Aunt Petunia receives say?|"Remember my last, Petunia."
Who tells Harry about the Room of Requirement?|Dobby
In Harry Potter and the Goblet of Fire, what is the name of the Muggle whom Voldemort kills inside the Riddle House?|Frank Bryce
How did Harry, Ron, and Hermione communicate to the other members of Dumbledore's Army that they were meeting?|Hermione created fake Galleons that show the date and time on the side.
While Neville is at St. Mungo's, what does his mom give him as a gift?|A gum wrapper
What is the name of the centaur that replaces Trelawney as the professor of Divination?|Firenze
Why does the Order of the Phoenix move out of 12 Grimmauld Place after Sirius's death?|Even though Sirius left Harry the house, they were afraid the deed would pass to Bellatrix.
What nickname does Ginny give Fleur in Harry Potter and the Half-Blood Prince?|Phlegm
How did Ginny end up at the Slug Club meeting on the Hogwarts Express?|Slughorn caught Ginny performing a really good hex.
During his first visit with Tom Riddle, what does Dumbledore have Tom take out of his wardrobe at the orphanage?|A box of stuff he stole from other children
While learning to Apparate, what are the "three D's" everyone must remember?|"Destination, determination, deliberation"
What's Ron's cover story as to why he's not at Hogwarts in Harry Potter and the Deathly Hallows?|He has a highly contagious case of spattergroit.
What fake name does Harry use while attending Bill and Fleur's wedding in disguise in Harry Potter and the Deathly Hallows?|Barny Weasley
After breaking into the Ministry of Magic, what does Harry steal from Umbridge's office in Harry Potter and the Deathly Hallows?|Moody's magical eye
What quote is written on James and Lily's grave in Godric's Hollow?|"The last enemy that shall be destroyed is death."
How do the Death Eaters find Harry, Hermione, and Ron in the forest before they are taken to Malfoy Manor in the book Harry Potter and the Deathly Hallows?|Harry says Voldemort's name.
How does Peter Pettigrew die?|His silver hand strangles him after he shows Harry mercy.
What caused Ariana Dumbledore to stop using magic?|She was attacked by Muggle boys when she was 6 years old.
How do you get into Ravenclaw's common room?|You have to answer a question or riddle.
And finally, how do Lily and Snape meet for the first time?|Snape lived in the same town and introduced himself to Lily after he saw her doing magic.
